Compound ID,Smiles,pIC50,LogP,MW,nAR,HBA,HBD,nRings,nRB,TPSA
CHEMBL1760408,Cc1c(-c2ccc(Cl)cc2)cccc1N(CC1CC1)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.100000128,6.38946,528.07,3,4,1,4,9,83.91
CHEMBL1760409,COCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,4.900000142,5.62586,532.058,3,5,1,3,10,93.14
CHEMBL1760410,Cc1c(-c2ccc(Cl)cc2)cccc1N(CCCC(F)(F)F)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.300000202,7.32196,584.056,3,4,1,3,10,83.91
CHEMBL1760411,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1Cl)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.300000202,7.12454,550.504,3,4,1,3,10,83.91
CHEMBL1760412,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1OC)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.100000128,6.47974,546.085,3,5,1,3,11,93.14
CHEMBL1760414,CCCCN(c1ccc(F)c(-c2ccc(Cl)cc2)c1)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.700000504,6.61024,534.049,3,4,1,3,10,83.91
CHEMBL1760416,CCCCN(c1cc(-c2ccc(Cl)cc2)ccc1OC(F)(F)F)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5,7.36974,600.055,3,5,1,3,11,93.14
CHEMBL1760417,CCCCN(c1cc(-c2ccc(Cl)cc2)ccc1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.200000237,6.77956,530.086,3,4,1,3,10,83.91
CHEMBL1760418,CCCCN(c1cc(-c2ccc(Cl)cc2)c(F)cc1F)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.800000875,6.74934,552.039,3,4,1,3,10,83.91
CHEMBL1760419,CCCCN(c1cc(-c2ccc(Cl)cc2)c(F)cc1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.100000128,6.91866,548.076,3,4,1,3,10,83.91
CHEMBL1760420,CCCCN(c1c(C)cc(C)c(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.100000128,7.3964,558.14,3,4,1,3,10,83.91
CHEMBL1760422,CCCCN(c1cccc(-c2ccc(Cl)c(Cl)c2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.300000202,7.43296,564.531,3,4,1,3,10,83.91
CHEMBL1760423,CCCCN(c1cccc(-c2ccccc2Cl)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.300000202,6.77956,530.086,3,4,1,3,10,83.91
CHEMBL1760424,CCCCN(c1cccc(-c2ccc(C(F)(F)F)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.200000237,7.14496,563.638,3,4,1,3,10,83.91
CHEMBL1760425,CCCCN(c1cccc(-c2ccc(OC(F)(F)F)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.300000202,7.02476,579.637,3,5,1,3,11,93.14
CHEMBL1760426,CCCCN(c1cccc(-c2ccc(C)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.300000202,6.43458,509.668,3,4,1,3,10,83.91
CHEMBL1760427,CCCCN(c1cccc(-c2ccc(OC)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.200000237,6.13476,525.667,3,5,1,3,11,93.14
CHEMBL1760428,CCCCN(c1cccc(-c2ccc(C(F)(F)F)cc2)c1Cl)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.200000237,7.48994,584.056,3,4,1,3,10,83.91
CHEMBL176075,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCCCC4)cc3Cl)cc2O1,5.853871964,6.794,473.009,2,4,1,4,9,64.99
CHEMBL176222,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC5(CC4)CC5)cc3Cl)cc2O1,5.431798276,7.1841,499.047,2,4,1,5,9,64.99
CHEMBL177831,CCCc1c(OCCCCOc2ccc3c(ccn3CC(=O)O)c2)ccc2c(C(F)(F)F)noc12,6.978810701,6.0764,490.478,4,6,1,4,11,86.72
CHEMBL178236,CCC(Oc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1)C(=O)O,8.522878745,6.37822,541.522,4,6,1,4,9,86.99
CHEMBL1783031,CCCc1cc(OC2CCCCC2)ccc1OCCCOc1cccc([C@@H]2SC(=O)NC2=O)c1,7.431798276,6.2226,483.63,2,6,1,4,11,73.86
CHEMBL1783034,O=C1NC(=O)[C@H](c2cccc(OCCCOc3ccc(Oc4ccccc4)cc3)c2)S1,7.1191007,5.3509,435.501,3,6,1,4,9,73.86
CHEMBL1783040,CCCc1cc(Oc2ccc(CC(C)C)cc2)ccc1OCCCOc1cccc([C@@H]2SC(=O)NC2=O)c1,6.536107011,7.5019,533.69,3,6,1,4,13,73.86
CHEMBL1783041,CCCc1cc(C(=O)C2CCCCC2)ccc1OCCCOc1cccc([C@@H]2SC(=O)NC2=O)c1,7.337242168,6.2741,495.641,2,6,1,4,11,81.7
CHEMBL1783047,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc(CC(C)(C)C(=O)O)cc1,5.963770456,7.0717,480.576,3,4,1,3,13,64.99
